,symptoms,symptom_ids,symptom_describe
0,복부비만,SS000400,"복부 또는 내장에 과도한 지방이 축적된 상태
"
1,깨어나면 기억하지 못함,SS000270,"기절이나 수면 이후 이전의 일을 기억하지 못하는 것
"
2,관련 장기의 일시적 기능장애,SS000607,"색전이 침범한 환부 인근 장기에 혈액공급이 중단 또는 부족하여 허혈상태에 빠져 제기능을 하지 못하는 상태
"
3,정서 및 행동의 일탈,SS000132,"정해진 영역 또는 본래의 목적에서 벗어난 행동을 함
"
4,낮은 자존감 ,SS000065,"자신의 품위를 스스로 지키는 마음이 부족함
"
5,동공이 흰빛으로 반짝임,SS000193,"눈에 빛을 비출 시 동공이 하얗게 반짝이듯 보임
"
6,"태아, 신생아의 정신 장애",SS000147,"출생 후 신생아에게서 정신장애가 관찰됨
"
7,흉쇄 유돌근의 몽우리,SS000913,"


흉쇄 유돌근에서 만져지는 덩어리



"
8,신생아-백색의 결절,SS000566,"피부 밑에 비정상적인 조직이 강낭콩 크기 정도로 솟아난 것
"
9,모발이 가늘어짐,SS000289,"머리카락의 굵기가 얇음
"
10,복부 통증,SS000398,"배가 아픈 것
"
11,눈 사이가 멀어보임,SS000174,"좌, 우 눈 사이 간격이 넓어 보임
"
12,야간뇨,SS000021,"밤동안 자주 소변이 마려움
"
13,구토,SS000386,"위장 속의 내용물이 식도를 거쳐 입 밖으로 나오는 것
"
14,대변에 벌레 관찰됨,SS000522,"기생충 감염 시 대변에서 작은 벌레가 보임
"
15,안검하수,SS000210,"윗눈꺼풀을 올렸다 내렸다 하는 윗눈꺼풀 올림근의 힘이 약해서 윗눈꺼풀이 아래로 처지는 상태
"
16,긴박뇨,SS000004,"소변이 마려워 참지 못하는 상태
"
17,면포,SS000799,"얼굴, 이마, 콧등에 나타나는 좁쌀 크기의 굳어진 피지 덩어리
"
18,물집,SS000801,"피부에 묽은 액체가 고여 반달모양으로 부풀어 오른 물주머니
"
19,질의 건조함,SS000485,"질 점막이 말라서 습기가 없음
"
20,말더듬,SS000070,"0.5초 이상 지속되는 음이나 음절의 반복
"
21,"삐뚤어진 눈, 코, 입",SS000298,"얼굴 가운데 중심선 기준으로 좌우 대칭이 맞지 않는 눈, 코, 입 상태
"
22,비장비대,SS000405,"비장이 병적으로 커진 상태
"
23,발이 안쪽을 향해 걸음,SS000376,"발 모양이 ""ㅅ"" 모양이 되도록 걸음 
"
24,후각장애,SS000750,"후각에 생긴 이상
"
25,"읽기,쓰기 능력 부족",SS000126,"글을 읽거나 쓰는데 어려움이 있음
"
26,감각 이상,SS000593,"신경전달로의 이상으로 감각이 저하되거나 이상감각이 느껴지는 증상
"
27,귀 상부가 두피에 매몰됨,SS000046,"귀 위쪽의 구조가 없음
"
28,삶에 대한 흥미 상실,SS000091,"삶에 대한 의지나 의욕, 재미가 없음
"
29,연속동작의 느림,SS000683,"하나의 동작에서 다음의 동작으로 연결하는데 시간이 오래 걸림
"
30,초록색 구토,SS000428,"구토물의 색이 초록색임
"
31,왜곡된 신체상,SS000112,"매우 말랐으나 스스로 뚱뚱하다고 생각하는 등의 원래의 모습과 다르게 판단하는 것
"
32,양수의 감소,SS000414,"뱃속 태아의 건강문제나 양막 파열 등 다양한 원인에 의해 양수의 양이 줄어든 상태
"
33,관절잡음,SS000256,"관절의 움직임 시 ""딱"" 하는 소리가 남
"
34,야만적 행위,SS000107,"교양없고 무례한 행위
"
35,갑상선이 단단해짐,SS000339,"갑상선이 건강문제로 인해 단단하게 변함
"
36,걸핏하면 눈물지음,SS000059,"자주 우는 모습을 보임
"
37,얼굴에 털이 자람,SS000312,"호르몬 분비 이상으로 얼굴에 털의 양이 많아지고 굵어짐
"
38,음모가 적거나 없음,SS000477,"음모가 없어 희게 보임
"
39,"눈,뺨 주위 작은 낭종",SS000792,"눈과 뺨 주위에 생긴 작은 주머니 모양의 혹 
"
40,콧물,SS000748,"콧구멍에서 흘러나오는 액체
"
41,불규칙한 반흔,SS000812,"상처가 아문 자리가 불규칙한 모양으로 자국이 남음
"
42,약물남용,SS000108,"불법적인 약물의 사용 혹은 처방되지 않은 약물의 잘못된 사용
"
43,피부 및 점막의 염증,SS000845,"피부나 점막에 붉어지거나 열감, 통증 등의 염증 증상이 관찰됨
"
44,뇌염증상,SS000281,"어떤 원인에 의해 두통, 발열, 오한, 구토, 의식 저하, 경련 등의 증상을 보이는 상태
"
45,마찰음 ,SS000638,"움직임 시 스치는 듯한 소리가 남
"
46,진한 소변색,SS000033,"간질환이나 수분 섭취 부족, 약물 등 다양한 원인에 의해 소변이 색이 짙어진 것
"
47,저심박출량,SS000895,"심장 이완 시 심방으로 유입되는 혈액량이 줄어들거나 전체 혈액순환량이 감소하는 등의 원인에 의해 심장 수축 시 박출되는 혈액량이 적은 상태
"
48,장마비,SS000426,"장의 연동 기능이 없어 움직이지 않는 상태
"
49,근골격계 이상,SS000610,"근육과 뼈에 생긴 이상 증상
"
50,미각이상,SS000561,"맛을 느끼는 감각에 생긴 이상
"
51,손상 부위 출혈,SS000773,"외상이나 골절 등의 원인으로 인해 손상이 있는 부위에서 발생한 출혈
"
52,"손,발,겨드랑이 발한",SS000821,"손, 발, 겨드랑이에 땀이 많이 남
"
53,무욕증,SS000075,"어떤 일을 하고자 하는 의지, 흥미, 욕구가 없는 상태
"
54,코막힘,SS000744,"콧구멍에서 인두까지 기도의 일부가 병적인 원인이나 이물에 의해 막히는 현상
"
55,"손,발톱이 갈라짐",SS000514,"손발톱이 쪼개져 금이가고 모양이 변형됨
"
56,다리변형,SS000236,"외상이나 질환에 의해 다리 뼈가 휘는 등의 다리 모양이 변하는 것
"
57,유루증,SS000543,"젖의 분비가 과다하게 됨
"
58,항문주위 염증,SS000535,"항문 주변에 세균이 침입해 붉게 변하고 열감이 있거나 가려운 등의 염증 증상이 나타남 
"
59,손발을 계속 움직임,SS000517,"손가 발을 가만히 두지 않고 무언가를 만지거나 계속 움직임
"
60,복벽이 움푹 들어감,SS000395,"복벽이 움푹 꺼진 상태
"
61,코 옆과 입꼬리 주름,SS000329,"코의 양 끝에서 입술 끝 언저리까지 여덟팔자 같이 생긴 주름
"
62,점막변화,SS000830,"점막의 발적, 균열 등의 이상 증세를 보이는 상태
"
63,치아 벌어짐,SS000577,"이와 이 사이 간격이 넓어짐
"
64,편측 사지의 감각소실,SS000778,"한쪽 팔, 다리의 감각이 사라짐
"
65,반점,SS000806,"피부 표면에 부풀어오르거나 패인 곳 없이 색깔 변화만 있는 상태
"
66,발적,SS000809,"피부나 점막에 염증이 생겼을 때 모세 혈관이 확장되어 이상 부위가 빨갛게 부어오르는 현상
"
67,입술 갈라짐,SS000571,"입술 피부가 건조해지거나 염증 등에 의해 갈라져 있는 상태
"
68,성욕감퇴,SS000094,"이성과의 성적인 접촉 욕구가 감소함
"
69,우유부단함 ,SS000115,"의사결정을 명확히 하지 못함
"
70,산통,SS000406,"매우 심한 복부 통증이 갑작스럽게 나타남. 
"
71,눈 감을 때 번쩍거림,SS000173,"눈 감을 때 전기불이 깜박이는 것처럼 번쩍거림
"
72,반상출혈,SS000805,"피부나 점막에 3mm 이상 크기로 나타나는 반상형의 출혈
"
73,근력 약화,SS000612,"근육의 힘이 감소하거나 약해진 상태
"
74,추위를 못견딤,SS000714,"동일한 조건에서 상대적으로 남들에 비해 추위를 견디기 어려워함
"
75,코플릭 반점,SS000585,"볼 안쪽이나 잇몸에 생긴 붉은 테를 두른 흰 반점상의 궤양
"
76,함몰가슴,SS000905,"갈비뼈의 이상 발달로 흉벽이 움푹 패여 과도하게 함몰된 기형
"
77,노출증,SS000066,"대중에게 자신의 성기를 노출함으로써 성적 쾌락을 얻는 증상
"
78,정서장애,SS000133,"
정상적인 환경에서 부적절한 행동이나 느낌을 가지며, 동료 등과 원만한 대인관계를 유지할 수 없는 상태로 우울증, 불안한 감정을 가지고, 지각, 인지, 운동 등에 학습장애가 있는 경우를 말함

"
79,경부 강직,SS000340,"머리를 숙여 턱을 가슴 안쪽으로 붙이지 못하는 증상
"
80,옷 액와 부분 변색,SS000758,"
의복의 겨드랑이 부분이 누렇게 색깔이 변함

"
81,눈꼽,SS000180,"눈에서 나오는 진득한 액이 말라붙은 것
"
82,아랫배가 뭉침,SS000411,"아랫배가 딱딱해짐
"
83,겨드랑이 악취 ,SS000866,"겨드랑이에서 나는 나쁜 냄새
"
84,더위를 못 견딤,SS000630,"더위를 참치 못하고 예민해짐
"
85,광대뼈 위치 이상,SS000267,"뺨과 관자놀이 사이의 광대뼈가 외상에 의해 원래의 위치가 아닌 곳으로 이동한 것
"
86,피부 긴장도 저하,SS000844,"전해질 불균형이나 노화에 의해 피부 긴장도가 감소한 상태 
"
87,온몸의 잔털,SS000688,"호르몬 분비 이상으로 몸에 털이 많아지거나 굵어짐
"
88,복부 불편감,SS000396,"복부의 거북하거나 괴로운 느낌
"
89,비현실감,SS000085,"가상 현실에 존재하고 있다는 느낌이나 현실과 분리되어 있다고 느끼는 상태
"
90,달모양의 둥근 얼굴,SS000283,"지방의 축적으로 열굴형이 달처럼 둥글어짐
"
91,귀의 통증,SS000048,"귀와 귀 주변에서 느껴지는 통증
"
92,눈 주위 노란 반점,SS000176,"눈 주위 노랗게 생긴 얼룩얼룩한 점
"
93,턱의 통증,SS000332,"턱, 관자놀이 부위에서 느껴지는 통증
"
94,전신 부종,SS000703,"온 몸이 부어 있는 상태
"
95,망막 이상 ,SS000194,"눈의 구조물 중 필름 역할을 하는 망막에 이상이 있는 상태
"
96,직무 태만,SS000142,"자신의 업무에 대해 열심히 하려 하지 않고 게으름
"
97,환시,SS000156,"외부에서 시각적 자극이 없는데도 시각을 인지하는 것
"
98,뇌부종,SS000278,"외상이나 종양 등의 건강문제로 인하여 뇌의 부피가 커진 상태
"
99,의식 변화,SS000319,"자기 자신이나 사물에 대하여 인식하는 능력이 여러가지 원인에 의해 변화됨
"
100,읽으려 하지 않음,SS000127,"글자를 읽기를 거부함
"
101,격동적 움직임,SS000597,"자신의 의지와 상관없이 전신 또는 신체 일부가 격하게 움직이는 증상
"
102,발 굴곡 운동의 제한,SS000370,"발을 구부렸을 때 잘 구부려지지 않음
"
103,동공산대,SS000192,"동공의 지름이 4mm 이상으로 커지는 상태
"
104,질은 없거나 짧은 맹관,SS000484,"질이 없거나 직장과 자궁 사이의 주머니 공간이 짧음
"
105,서호흡,SS000879,"느린 호흡
"
106,괄약근 기능 이상,SS000520,"항문의 대변 배출을 조절하는 근육(괄약근)의 기능 이상
"
107,실명,SS000207,"시력을 잃어 앞을 못 보게 됨
"
108,피부홍조,SS000853,"피부가 붉어짐
"
109,뇌압상승증상,SS000280,"외상이나 종양,염증 등의 건강문제로 인하여 뇌의 부피가 커지면서 압력이 증가하여 두통, 구토, 오심, 의식장애 등의 증상이 나타나는 상태
"
110,말을 많이 함,SS000071,"말의 양이 많은 상태
"
111,잔변감,SS000425,"대변을 보고 난 후에도 대변이 남아있는 느낌
"
112,지속 발기,SS000480,"발기 상태가 지속적으로 유지됨
"
113,늑막삼출,SS000869,"폐를 둘러싸고 있는 두겹의 늑막 사이 공간에 액체가 고이는 상태
"
114,귀 모양의 변형,SS000045,"정상적인 귀에 비해 위치가 다르거나 모양이 다름
"
115,사지의 창백한 현상,SS000772,"사지에 혈액순환이 안되어 핏기가 없는 상태
"
116,압통,SS000439,"눌렀을 때 느껴지는 통증
"
117,안구증대,SS000215,"눈알의 크기가 커진 상태
"
118,환청,SS000157,"외부에서 청각 자극이 없는데도 청각을 인지하는 것
"
119,요도가 아랫쪽에 위치,SS000468,"요도가 정상보다 아랫쪽에 위치함
"
120,오리걸음,SS000245,"근육이상이나 관절이상의 원인으로 다리를 벌리고 허리와 엉덩이를 흔들며 걷는 모양 
"
121,목의 이물감,SS000349,"목 부위에 다른 물질이 있는 듯한 느낌
"
122,구강건조,SS000553,"침의 분비가 감소하여 입안의 점막이나 혀가 말라있는 상태
"
123,점 안에 다른 색 피부,SS000829,"원래 있던 점 주변에 새로운 색의 점이 생김
"
124,덩어리가 만져짐,SS000438,"건강문제가 생긴 부위에 원래 없어야하는 혹이 생겨 손으로 만져지는 상태
"
125,회음부의 작은 돌기,SS000489,"회음부위의 작고 뽀족하게 도드라진 부분
"
126,정서적 둔마,SS000134,"정신이 굳어서 흐려짐
"
127,가학증,SS000056,"성적 쾌락을 얻기 위해 상대방에게 고통이나 모욕감을 주는 증상
"
128,반복되는 폐렴,SS000871,"폐렴에 여러 번 반복해서 걸림 
"
129,어깨 잡음,SS000755,"어깨 관절에서 나는 비정상적인 소리
"
130,성조숙증,SS000662,"2차 성징의 징후들이 정상적인 시기보다 빨리 나타나는 것
"
131,낮 시간대의 졸음,SS000272,"낮 시간동안 병적으로 잠이 오는 상태
"
132,상동적 행동,SS000660,"의미를 가지지 않는 이상한 행동을 반복적으로 되풀이하는 신체 행동
"
133,아래 눈꺼풀이 불룩함,SS000208,"눈 아래쪽 눈꺼풀의 탄력성이 감소하여 늘어져 불룩하게 보임
"
134,폐동맥 고혈압,SS000901,"


폐에 혈액을 공급하는 폐동맥에 이상이 생겨 폐동맥의 혈압이 상승하는 질환



"
135,음낭이 잘 발달하지 않음,SS000476,"음낭의 크기가 매우 작거나 푹 꺼져 있음
"
136,환부 통증,SS000730,"건강문제가 있는 부위에서 느껴지는 통증
"
137,담도감염,SS000389,"간에서 만들어진 쓸개즙이 이동하는 길인 담도의 감염
"
138,저작장애,SS000575,"음식물을 씹는데 문제가 있음
"
139,분만 지연,SS000012,"태아 자체의 문제나 산모의 자궁 상태에 의해 분만이 진행되지 않는 것
"
140,이중음성,SS000357,"소리를 내는 성대에 결절이나 염증 등의 원인에 의해 원래의 목소리와 다른 음성이 나오는 것
"
141,양반다리로 앉기힘듬,SS000244,"대퇴, 고관절 부위에 이상이 있어 바닥에 양반다리로 앉는 자세를 취하기 힘든 상태
"
142,관절 불안정증,SS000232,"관절을 유지하는 건이나 인대, 연골 등의 손상으로 관절 운동이 불안정한 상태
"
143,소아기호증,SS000095,"사춘기 전의 어린이에게만 성적 충동을 느끼는 증상
"
144,고름,SS000787,"화농성 감염이 있는 부위에 생긴 노르스름한 분비물
"
145,배뇨곤란,SS000009,"소변을 볼 때 느껴지는 불편감
"
146,가슴 답답,SS000860,"가슴 및 명치 부위의 답답한 느낌
"
147,손상 부위 통증,SS000664,"외상이나 골절 등의 원인으로 인해 손상이 있는 부위에서 느껴지는 통증
"
148,펴진 귓바퀴,SS000055,"귓바퀴 끝이 편평하게 펴짐
"
149,수정체 이상,SS000203,"수정체는 빛을 굴절시키는 역할을 하는 눈 내부의 기관으로 조절 능력이 감소하거나 정상 위치를 벗어나는 등의 이상이 생긴 것
"
150,면역기능 이상,SS000640,"신체에 들어 온 항원에 대항하여 항체를 생성하고 인체를 방어하는 기능에 이상이 생긴 상태
"
151,질에서 소변이 나옴,SS000483,"소변이 생식기인 질을 통해 배출됨
"
152,척추와 허리 디스크,SS000262,"척추 사이 존재하는 섬유륜이 밀려나와 척추 내 신경이 지나가는 통로가 눌려 좁아지는 현상
"
153,하지부종,SS000251,"다리, 발이 부은 상태
"
154,유방 크기의 감소,SS000544,"유방 조직이 작아짐
"
155,홍채가 흔들거림,SS000230,"홍채는 각막과 수정체 사이에서 동공의 크기를 조절하는 눈 조직의 하나로 수정체가 이동하면서 움직여 흔들리는 것처럼 보임
"
156,치핵의 탈출,SS000533,"직장의 정맥이 오랜 압력으로 늘어져서 항문 주위에 혹과 같이 되어 생긴 치질이 항문 밖으로 나온 것
"
157,영양 불량,SS000686,"영양 섭취 혹은 흡수가 부족하여 영양결핍이 온 상태
"
158,손떨림,SS000500,"손이 떨리는 상태
"
159,희망이 없는 느낌,SS000160,"어떤 행동을 하면서 그 행동으로 인해 좋아질 것이라는 느낌이 없음 
"
160,거품있는 소변,SS000002,"배뇨 후 소변에 거품이 관찰됨
"
161,대화에 불쑥 끼어듬,SS000069,"다른 사람들 사이의 대화에 동의 없이 참여함
"
162,비정상적 질출혈,SS000453,"정상적인 생리 주기에서 벗어난 비정상적인 출혈
"
163,불규칙호흡,SS000873,"들숨과 날숨이 불규칙적으로 관찰됨
"
164,공복감,SS000385,"뱃속이 비거나 배가 고픈 느낌
"
165,표준 신장의 3%이하,SS000721,"표준 신장 보다 작음
"
166,호기의 증가,SS000907,"숨을 내쉬는 시간의 증가
"
167,회음부의 파열,SS000490,"회음부가 찢어지거나 갈라져 터짐
"
168,안면부 출혈,SS000304,"안면부에 외상이나 염증으로 피가 나는 상태
"
169,사고의 비약,SS000087,"연상활동이 지나치게 빨라 생각이 한 주제에서 다른 주제로 빠르게 진행되는 현상
"
170,배꼽의 고름 및 피,SS000393,"배꼽에 농과 같은 분비물이나 피가 남
"
171,정신 혼미,SS000136,"중독이나 감염 등의 여러가지 원인에 의해 기억력, 주의력, 집중력, 사고력 등의 지적 능력이 일시적으로 상실된 상태
"
172,호흡기감염,SS000909,"기도, 기관지, 폐 등 호흡기계에 생긴 감염증
"
173,떨림(진전),SS000710,"여러가지 원인에 의해 몸이 떨리는 상태
"
174,얼굴의 나비모양 홍반,SS000313,"얼굴에 나비모양으로 생긴 적색 반점
"
175,조절할 수 없는 충동감,SS000139,"어떠한 행동을 하고자 하는 욕구를 자신의 의지로 조절할 수 없는 상태
"
176,호흡곤란,SS000908,"숨쉬기 힘듦
"
177,암 부위별로 다름,SS000105,"암부위별로 나타나는 증상이 다름
"
178,질식,SS000896,"기도를 통한 공기의 흐름이 차단되어 폐의 호흡작용에 장애가 온 상태
"
179,발의 통증,SS000375,"발가락, 발바닥, 발목 부위에 느껴지는 통증
"
180,점상 출혈,SS000707,"피부나 점막에 1~2mm정도의 점 모양으로 관찰되는 출혈 반점
"
181,치아발달장애,SS000581,"치아 형성 시기에 법랑질 모세포의 손상으로 정상적인 치아발육이 되지 않는 상태
"
182,치매,SS000328,"기억, 언어, 판단력 등의 여러 영역의 인지 기능이 감소하여 일상 생활을 제대로 수행하지 못하는 증세
"
183,말초 신경장애,SS000512,"중추신경계로부터 연결되는 말초신경 경로에 염증이나 손상등의 건강문제가 생긴 상태
"
184,"음낭에 없는 고환,부고환",SS000474,"정상적으로 음낭에 위치해야 할 고환, 부고환이 다른 부위에 위치하거나 없음
"
185,발 안쪽 아치의 소실,SS000371,"발바닥의 활모양으로 굽은 부분
"
186,울퉁불퉁한 상처 ,SS000824,"표면이 매끄럽지 못한 상처
"
187,배뇨 시 통증,SS000449,"소변을 볼 때 요도 및 회음부에 느껴지는 통증
"
188,가슴 쓰림,SS000381,"위산이 위점막을 자극하여 생기는 명치 부위에 아픈거나 쓰린 느낌
"
189,사지 마비,SS000769,"외상이나 질환에 의해 척수신경이 손상을 받아 양쪽 팔과 다리의 움직임이 약하거나 움직이지 못하는 상태
"
190,상처가 넓어짐     ,SS000817,"상처가 있던 원래의 크기 보다 커짐
"
191,굽은 등,SS000258,"상체가 앞쪽으로 숙여져 등이 동그랗게 됨
"
192,발끝으로 설 수 없음,SS000374,"발 뒤꿈치를 들고 설 수 없음
"
193,사정이 일찍 됨,SS000454,"성관계 시 사정이 빠른 시간에 이루어짐
"
194,운동 시 호흡곤란,SS000892,"걷거나 운동 시 숨쉬기가 어렵고 힘든 상태
"
195,눈의 자극감,SS000185,"눈에 이물이 들어간 것 같은 느낌
"
196,요도 불쾌감,SS000024,"요도에서 느껴지는 기분 나쁜 느낌
"
197,복부팽만감,SS000402,"복부에 가스나 복수가 차서 더부룩하게 부풀어 오르거나 불편함을 느끼는 것
"
198,사지 부종,SS000771,"팔,다리가 부은 상태
"
199,터널시야,SS000229,"터널 입구에서 사물을 바라보는 것처럼 시야가 제한되어 있음
"
200,체중감소,SS000712,"체중이 줄어듦
"
201,자반증,SS000826,"피부 또는 점막에 출혈이 있어 붉거나 보라색으로 보이는 반점
"
202,간기능 저하,SS000382,"간의 정상적인 기능이 저하됨
"
203,농신증,SS000388,"신우 속에 고름이 차 있는 상태
"
204,괴사,SS000788,"어떤 비정상적인 원인에 의해 세포가 죽음
"
205,저체온,SS000698,"신체가 추위에 노출되는 등의 환경적 요인이나 외상, 갑상선기능저하증과 같은 질환 등의 이유로 체온 유지 기전이 손상되어 정상체온을 유지 하지 못하고 체온이 35℃ 이하로 떨어진 상태
"
206,간성뇌증,SS000264,"간에 생긴 건강문제로 인해 해독 기능을 할 수 없어 암모니아가 과도하게 축적되어 나타나는 정신 이상 상태
"
207,관절의 경직,SS000762,"관절이 굳어서 운동을 할 수 없거나 움직이기 힘든 상태
"
208,눈비빔,SS000183,"눈의 이물감이나 자극으로 반복적으로 눈을 비비는 상태
"
209,중이염소견,SS000052,"귀의 고막 안의 공간을 중이(중간귀)라고 하는데, 이곳에 만성적인 염증이 생겨 진물과 고름이 나오고 좋지 않은 냄새가 나는 등의 증세
"
210,실행증,SS000301,"감각 기관이나 운동 능력에 손상은 없으나 대뇌 일부의 손상으로 지시에 따른 행동이나 운동을 하지 못하는 상태
"
211,위장관 출혈,SS000421,"식도, 위, 소장 등의 소화기관 안의 출혈이 있어 피를 토하거나 항문을 통해 배설하는 상태
"
212,청력장애,SS000054,"듣는 것에 문제가 있음
"
213,피부균열,SS000849,"피부가 갈라지고 터짐
"
214,권태감,SS000735,"몸이 나른한 느낌
"
215,발육부전,SS000648,"어떠한 원인에 의해 성장속도가 평균에 미치지 못하는 상태
"
