,symptoms,symptom_ids,symptom_describe
149,만성 부비동염,SS000286,"코 옆에 위치한 부비동에 세균이나 바이러스가 침투하여 염증이 발생한 것
"
151,이성의 옷을 착용함,SS000122,
152,거인증,SS000596,"뇌하수체에서 어떤 원인에 의해 성장호르몬이 과도하게 생성되어 발생되는 뼈, 연골, 섬유조직 등의 과도한 성장 
"
154,혼돈,SS000336,"의식상태가 명료하지 못하여 자유의지로 생각하고 결정을 내리기 힘들고 주의를 기울이거나 기억하기 어려운 정신 상태
"
156,검은 점,SS000784,"점의 색이 검음
"
159,갱년기 증상,SS000595,"갱년기 여성에게 호르몬 변화로 인해 발생하는 신체, 정신적 이상 증상 
"
161,탈장 돌출,SS000430,"탈장 부위가 앞으로 솟음
"
163,심정지,SS000891,"심장 박동이 멈춘 상태
"
164,두드러기,SS000796,"알레르기 반응에 의해 피부 표면에 생긴 팽진과 발적, 소양감
"
169,폐출혈,SS000904,"외상이나 폐조직 손상에 의해 폐에 출혈이 있는 상태
"
175,손가락의 변형,SS000499,"손가락이 휘거나 정상보다 굵어지는 등의 모양이 변한 상태
"
176,관절 구축,SS000608,"오랫동안 움직이지 않아 정상적인 관절가동범위에 제한이 있는 것
"
182,잇몸 위축,SS000573,"잇몸의 크기나 기능이 줄어듬
"
188,폭식,SS000149,"병적으로 지나치게 음식물을 섭취함
"
189,질병에 대한 공포,SS000162,
191,불안,SS000081,"불편한 일이나 위험이 닥칠 것만 같아 마음이 편하지 않고 조마조마한 느낌
"
193,정맥혈전,SS000257,"정맥에 생긴 응고 작용에 의해 혈소판과 섬유소로 구성된 혈액성분이 응집된 덩어리
"
198,난청,SS000049,
199,어깨 움직임의 제한,SS000754,"어깨 관절의 움직임에 제한이 있음
"
202,갈색 피부 반점,SS000781,"피부 표면에 있는 편평한 갈색의 점
"
204,설사,SS000527,"대장의 수분 흡수에 문제가 있어 대변이 묽고 자주 배변을 하는 것
"
213,만성 신부전,SS000391,"노폐물을 제거하는 신장기능이 감소되어 정상으로 회복될 수 없는 상태
"
215,오한,SS000687,"세균감염이나 질환 시 고열이 나면서 의지와 상관이 없이 근육이 떨리거나 수축하는 상태
"
216,설염,SS000564,"혀에 생긴 염증
"
217,관절염,SS000233,"관절 사이 완충 역할을 해 주는 연골이 파괴되고 관절에 염증성 변화가 일어난 상태
"
219,뼈의 기형,SS000255,"뼈의 구조나 생김새가 정상과 다른 모양을 보임
"
222,편마비,SS000777,"한쪽 팔, 다리의 마비
"
227,피부색 변화,SS000851,"피부의 색, 모양, 상태, 성질 따위가 바뀜
"
231,비출혈,SS000741,"외상이나 자극, 출혈 경향성의 증가에 의해 코에서 피가 나는 상태
"
232,흥분,SS000733,"자극을 받아 생기는 감각 세포나 신경 단위의 변화. 또는 그로 인하여 일어나는 신체 상태의 변화
"
234,붉은 색소 침착,SS000814,"피부에 색소가 침착하여 색이 붉게 변함
"
249,다음,SS000627,"비정상적으로 물이나 음료 등을 많이 마심
"
252,빈호흡,SS000875,"호흡 횟수가 비정상적으로 증가한 상태
"
254,사경,SS000351,"고개가 한쪽으로 당겨져 턱 끝이 다른 쪽으로 향하게 되는 이상 상태
"
259,울퉁불퉁한 상처,SS000824,"표면이 매끄럽지 못한 상처
"
263,저혈량 쇼크,SS000701,"출혈이나 심한 화상 등의 원인으로 인해 혈액순환량이 감소하여 장기의 쇼크 증상이 발생함 
"
264,상처가 넓어짐,SS000817,"상처가 있던 원래의 크기 보다 커짐
"
266,숨막히는 느낌,SS000881,"숨쉬기가 힘든 느낌
"
268,객혈,SS000863,"혈액이 섞인 가래가 기침과 함께 나오는 것
"
277,심실 부정맥,SS000885,"심장은 좌우 두개의 심방과 심실로 구성이 되며 심장 근육의 전기적 자극에 의해 수축과 이완을 한다. 이때 정상 전도로가 아닌 심실 조직에서 전기적 신호가 발생하거나 전달에 이상이 있는 경우를 심실 부정맥이라고 한다.
"
279,관음증,SS000061,"다른 사람의 특정 신체 부위나 성적 행동을 보며 성적 쾌락을 얻는 증상
"
284,요독증,SS000690,"여러가지 원인에 의해 신장(콩팥)의 기능이 감소하면서 체내에 쌓인 노폐물들이 배설되지 못해 나타나는 증세
"
287,악취가 나는 설사,SS000528,"배변 시 설사에서 고약한 냄새가 남
"
296,이물감,SS000367,"몸이나 특정 기관에 다른 물질이 들어가 있는 느낌
"
299,요통,SS000259,"허리부위에서 다리까지 광범위하게 나타나는 통증
"
300,토혈,SS000432,
301,산혈증,SS000659,"혈액의 pH가 7.4 이하로 떨어져 산성 상태를 보이는 것
"
304,대사성 산증,SS000629,"어떤 원인(대사와 관련된 원인)에 의해 혈액 속 수소 농도가 7.35 미만인 경우
"
305,폐부종,SS000902,"폐조직에 지나친 양의 체액이 쌓여 호흡이 곤란해지는 상태
"
309,굳은 살,SS000369,"과도한 마찰에 의해 생긴 두꺼워진 피부 표면 
"
311,딱지,SS000797,"상처가 아물때 생기는 것. 혈액, 혈청, 농을 비롯한 분비물이 건조외어 축적된 것
"
312,환각,SS000153,"외부의 자극이 없는데도 외부에서 자극이 들어온 것처럼 느끼는 현상
"
320,신증후군,SS000675,"소변에서 배설되는 단백질의 양이 성인 기준으로 하루 3.5g 이상이며 혈중 알부민 농도가 3.0g/dl 이하이고 부종을 나타내는 것을 특징으로 하는 신사구체 질환
"
325,수면 주기의 변화,SS000099,"정상적인 사람의 수면주기는 약 90~120분 정도로 렘(REM)수면과 비렘(Non-REM) 수면으로 구성된 4~5회 수면주기를 가지게 되나 스트레스나 질환 등에 의해 이러한 수면주기가 바뀌는 상태  
"
328,건망증,SS000266,"기억력에 장애가 생겨 금방 잊어버리거나, 드문 드문 기억하거나 또는 어떤 일정한 시기 이전의 일을 기억하지 못하는 증상
"
334,파행,SS000249,"다리로 가는 동맥이 폐쇄되거나 허리의 신경이 압박을 받아 다리를 절게 되는 상태
"
335,백혈구 증가,SS000651,"혈액 검사 시 백혈구 수치가 높음
"
336,요관 폐쇄,SS000023,"소변이 흘러나오는 요관이 종양이나 기타 여러가지 원인에 의해 막힌 상태
"
337,사춘기 지연,SS000658,"여아 12세, 남아 14세가 지나도 유방 혹은 고환이 발달하지 않거나 성적 성숙이 진행되지 않는 상태 
"
340,안구혼탁,SS000217,
344,무증상,SS000077,"특이 증상 없음
"
349,감기 증상,SS000594,"콧물, 코막힘, 고열, 연하곤란, 호흡곤란, 인후통, 편도염 등의 상기도 감염 증상
"
358,유방 통증,SS000545,"호르몬 변화나 염증, 종양과 같은 원인에 의해 유방에 발생하는 통증
"
369,림프절 농양,SS000636,"이물질을 처리하는 면역기관인 림프절에 고름이 고여 덩어리를 이룬 것
"
370,위궤양,SS000417,"위점막이 헐어 점막뿐만 아니라 근육층까지 침범한 것
"
371,생식기 궤양,SS000457,"생식기 피부가 헐어서 상처가 난 상태
"
373,습진,SS000822,"가려움증, 홍반, 인설과 군집된 구진, 수포를 보이는 피부 질환군
"
374,안면마비,SS000303,"어떤 원인에 의해서 얼굴의 근육을 움직이는 안면신경의 기능에 문제가 생겨 얼굴의 마비가 생기는 것
"
379,의심,SS000119,"확실히 할 수 없어서 믿지 못하는 마음
"
382,육아조직,SS000519,"외상, 염증에 의해 손상된 조직의 재생과정에서 관찰되는 결합조직
"
384,고환 위축,SS000442,"고환의 기능이나 크기가 축소됨
"
385,뇌출혈,SS000282,"뇌 속에 있는 혈관이 여러가지 원인에 의해 터져서 혈액이 혈관 외부로 유출된 것
"
389,각막 이상,SS000166,"각막에 건강 문제가 생겨 혼탁해지거나 흉터, 염증 등의 증상이 나타나는 것 
"
390,다모증,SS000794,"피부에 털이 많이 자라는 것
"
392,붉고 얇은 피부,SS000813,"


피부가 얇아지고 붉어진 상태



"
395,낮은 지능,SS000273,
396,반사 이상,SS000647,"자극에 대하여 일정한 반응을 보이는 행동에 이상이 생김
"
402,잔뇨감,SS000032,"소변을 보고 난 후에도 소변이 남아있는 느낌
"
408,재채기,SS000751,"강한 냄새나 먼지 등과 같은 자극원에 의해 코 점막이 이러한 자극물질을 배출하려고 하는 반사 운동
"
409,기침,SS000868,"기도 분비물이나 외부 먼지, 미생물 등을 제거하기 위해 갑작스럽게 숨을 내뿜는 반사 행동
"
410,근시,SS000170,"먼 곳을 바라볼 때 물체의 상이 잘 안 보이고 가까운 곳이 잘 보이는 눈의 상태
"
412,하지 마비,SS000250,"


다리, 발에 나타나는 마비 증상



"
417,혈전증,SS000725,"어떤 원인에 의하여 혈전 형성이 촉진되어 혈관 내 혈전이 많아지는 상태
"
418,황반부종,SS000231,"망막의 한 부분인 황반이 두꺼워지고 붓는 현상
"
423,음낭 부종,SS000473,"음낭이 부음
"
424,신장 감소,SS000673,"키가 줄어듦
"
435,뼈 전이,SS000655,"종양이 원발부위에서 벗어나 뼈로 옮겨 감
"
438,원한,SS000116,"억울하고 원통한 일을 당하여 응어리진 마음
"
439,위염,SS000419,"위 점막에 염증 세포의 침윤이 있는 상태
"
440,인설,SS000825,"피부의 각질화된 상피세포. 건조하거나 습한 각질 덩어리
"
443,갑상선 비대,SS000338,"갑상선이 병적으로 커진 상태
"
445,다리 통증,SS000234,"허벅지, 종아리 부위에 생긴 통증
"
447,트림,SS000433,"식사나 호흡을 통해 식도로 들어간 공기가 입으로 배출되는 현상
"
448,안구내 출혈,SS000213,"눈 안쪽의 혈관이 터져 혈액이 유출된 상태
"
449,창백,SS000833,"피부의 색이 하얗게나 파래짐
"
454,고혈압,SS000602,"여러가지 원인에 의해 혈압이 높아진 상태
"
456,급성 신부전,SS000387,"신장 기능이 갑자기 떨어진 상태
"
457,소변량 감소,SS000016,"소변량이 병적으로 줄어든 상태
"
461,모발 탈색,SS000288,"모발의 빛이 바램
"
462,월경과다,SS000469,"월경의 양이 많거나 7일 이상 오래 지속하는 것
"
464,수면 중 이상한 행동,SS000101,"수면 중 코골이, 이갈이, 수면 중 보행 등의 이상 행동을 보이는 상태
"
468,이슬,SS000027,"양수가 터지거나 새어 질을 통해 흐름
"
472,분뇨,SS000011,"소변에 대변이 섞여나옴
"
477,골다공증,SS000603,"여러가지 원인에 의해 뼛속에 구멍이 생겨 뼈의 양이 줄어들고 얇아져 매우 약해진 상태 
"
482,서맥,SS000878,"심장박동이 느린 것
"
484,경정맥 확장,SS000343,"목 좌우에 위치한 경정맥이 확장되어 부어보이는 증상
"
489,저혈압,SS000702,"수축기 혈압 90mmHg보다 낮은 상태
"
490,정신 지체,SS000135,
496,증상의 일중변동,SS000227,
498,신부전,SS000672,"신장이 혈액에서 노폐물을 제거하고 몸 안의 수분량과 전해질 농도를 적절하게 유지하는 기능을 상실한 상태
"
499,낭종,SS000790,"주머니 모양의 크거나 작은 혹
"
504,피부궤양,SS000848,"염증으로 죽은 조직의 탈락에 의해 기관이나 조직의 표면이 국소적으로 소실되거나 함몰되는 것을 말함. 피부의 진피이하까지 탈락하여 흉터를 남김
"
505,엉덩이 통증,SS000530,"고관절, 대퇴 상부에서 느껴지는 통증
"
507,비정상적인 진통,SS000014,"비정상적으로 힘들거나 느리게 진행되는 진통
"
515,운동 실어증,SS000317,"뇌의 전두엽 부분의 손상으로 듣고 이해할 수 있으나 표현하는 것이 힘든 상태
"
516,발작적인 울음,SS000649,"병적으로 갑자기 세차게 발생하는 울음
"
520,탈력발작,SS000717,"공포나 정신적 충격에 의한 갑작스런 근력의 상실
"
525,악취,SS000492,"환부나 분비물에서 고약한 냄새가 남
"
534,혈소판감소,SS000724,"혈액검사 결과 상  혈소판 수치가  감소한 상태
"
535,궤양,SS000789,"피부 또는 점막이 헐어서 상처가 난 상태
"
542,종아리 근육의 비대,SS000247,"종아리 근육이 커짐
"
546,간비대,SS000384,"간이 병적으로 커진 상태
"
551,아나필락시스,SS000679,"특정물질에 대해 몸에서 과민반응을 일으키는 것으로 극소량만 접촉해도 전신에 걸쳐 증상이 발생하는 심각한 알레르기 반응
"
559,천식,SS000898,"기관지가 좁아져서 숨이 차고, 기침이 나며, 가슴에서 색색거리는 소리가 들리며, 가슴이 답답해지는 증상
"
560,생식기 통증,SS000460,"생식기 부위에서 느껴지는 통증
"
564,발기부전,SS000448,"음경의 발기가 잘되지 않는 상태
"
566,과호흡,SS000867,"여러가지 원인에 의해 호흡수가 많아지고 이산화탄소 배출이 증가한 상태
"
571,복시,SS000195,"사물이 두개로 보임
"
573,고혈당,SS00930,"고혈당이란 혈당치가 비정상적으로 높은 상태를 말합니다. 생리적 고혈당은 식사 후 일시적으로 일어나는 자연적인 현상이나, 생리적 현상으로 허용되는 범위 외의 혈당치의 증가는 당뇨병이 있거나 당뇨병으로의 진행 가능성 혹은 당뇨병의 미 발견 상태에 해당될 수 있습니다. 흔히 건강검진 등을 통해 발견되는 고혈당 중, 공복 혈당이 126mg/dL을 넘는 경우에는 일반적으로 당뇨병에 준한 검사 및 치료 등을 받아야합니다.
"
574,사시,SS000200,"두 눈이 똑바로 정렬되어 있지 않은 상태
"
575,소변을 볼 수 없음,SS000017,"소변이 나오지 않음
"
577,말초부종,SS000764,"손, 발 등의 말초 부위가 부은 상태
"
581,수면 마비,SS000666,"수면 주기 중 REM 수면 시 근육 마비로 인해 잠들기 직전이나 아침에 일어났을 때 움직이지 못하는 현상
"
585,시력 감소,SS000204,
587,항문 통증,SS000534,
590,구취,SS000557,"타인에게 불쾌감을 주는 나쁜 입냄새
"
596,발가락의 변형,SS000373,"발가락의 모양이 변함
"
603,배변습관의 변화,SS000523,"변의 굵기, 색,  배변 횟수 등의 대변 양상이 평소와 달라짐 
"
605,질투,SS000143,"다른 사람이 잘되거나 좋은 처지에 있는 것 따위를 미워하고 깎아내리려 함
"
607,발진,SS000810,"염증이나 약물, 기타 다른 원인에 의해 피부에 붉게 돋아나는 작은 병변
"
608,발한,SS000650,"체온이 높아졌을 때 땀으로 수분을 배출해 체열을 발산시켜 체온조절을 하거나 정신적 긴장 시 땀이 나는 현상
"
609,간부전,SS000383,"간에 생긴 건강문제로 인해 단백질 합성 및 대사 등의 정상적인 간 기능을 할 수 없는 상태
"
610,상지 마비,SS000753,"팔이나 손에 감각이 무뎌지거나 운동 능력이 감소함
"
613,뼈의 변형,SS000739,"골절이나 염증으로 인해 뼈의 구조가 바뀜
"
619,열수,SS000506,"갈라진 손
"
622,삼키기 곤란,SS000352,"씹고 삼키는 능력의 손실 또는 손상으로 먹는 능력이 저하되어 어려움이 있는 상태
"
625,부정맥,SS000872,"정상보다 느리거나 빠르거나 불규칙하게 뛰는 맥박 
"
628,무의식,SS000292,"자신의 상태를 스스로 알지 못하는 것
"
629,갈퀴족지,SS000368,"발가락의 마디가 굽어져 발 모양의 변형을 보임
"
631,마비,SS000637,"신경이나 근육에 감각이 없거나 움직일 수 없는 상태
"
632,발가락 사이 갈라짐,SS000807,"발가락 사이의 피부가 갈라지고 균열이 생김
"
633,무산소 발작,SS000644,"저산소증이나 혈액공급보다 산소요구량이 많을 때 청색증이 발생하며 의식을 잃는 실신 발작
"
634,성대 이상,SS000353,"목소리는 내는 기관이 성대에 문제가 생긴 상태
"
635,근육통,SS000618,"근육에 생기거나 느껴지는 통증
"
640,습관성 유산,SS000020,"임신 5개월(20주)이전에 3차례 이상 계속해서 유산하는 것
"
641,약시,SS000221,"시력이 약한 상태
"
646,태반의 조기 박리,SS000037,"태아가 분만되지 않은 상태에서 태반이 자궁의 부착 부위로부터 일부 또는 전부 분리되는 현상
"
647,파열음,SS000248,"찢어지면서 나는 소리
"
650,이완성 마비,SS000693,"근육의 긴장도가 약화되거나 상실되면서 나타나는 마비증상
"
652,무관심,SS000073,"관심이나 흥미가 없음
"
654,생식기 출혈,SS000459,"생식기에서 피가 나는 상태
"
657,단백뇨,SS000006,"신장에 생긴 건강문제로 소변에 단백질이 나오는 것
"
658,심부전,SS000884,"심장이 정상적으로 기능을 하지 못하는 것
"
659,부정교합,SS000563,"치아의 배열이 가지런하지 않거나 입을 다물었을 때 위 아래 턱의 치아가 서로 맞물리지 않는 상태
"
663,잦은 딸꾹질,SS000894,"횡격막 수축 시 성문이 닫히는 소리인 딸국질이 자주 발생함
"
668,장폐색,SS000427,"소장이나 대장의 일부가 여러 요인에 의해 부분적으로 또는 완전히 막혀서 장의 내용물(음식물, 소화액, 가스)이 앞으로 빠져나가지 못하여, 배변과 가스가 장내에 축적되어 장애를 일으키는 현상
"
671,변비,SS000525,"대장 연동 운동의 저하로 원활한 배변 운동을 하지 못하는 질환으로 배변이 1주일에 2회 미만이거나, 배변 시 굳은 변을 보며 통증이나 출혈이 동반되는 경우
"
677,결막염,SS000167,"눈(안구)을 감싸고 있는 안구와 안검을 결합하는 점막조직인 결막에 생긴 염증
"
687,황달,SS000857,"혈액 중에 빌리루빈 양이 증가하여 피부 및 점막 내 담즙의 축적으로 피부가 황색을 띄게 되는 병적 상태
"
692,담석,SS000390,"담도나 담낭에 콜레스테롤, 담즙 색소, 칼슘염 등의 결정이 덩어리져 생긴 돌처럼 단단한 물질
"
693,골절,SS000605,"뼈가 부러지거나 금이 간 상태
"
699,접촉도착증,SS000131,"상대방의 신체 일부분에 몸을 문질러 쾌감이나 성적 흥분을 얻는 것
"
706,와해된 언어,SS000110,"상황이나 논리에 맞지 않는 말을 함
"
709,이명,SS000050,"외부로부터의 소리 자극이 없는데도 불구하고 귓속 또는 머릿속에서 소리를 느끼는 현상
"
718,졸림,SS000325,"잠이 오는 느낌이나 상태
"
736,눈의 피로,SS000188,"눈이 시리거나 아프고 사물이 흐릿하게 보이고 때때로 붉게 충혈이 되고 뻑뻑한 느낌
"
740,열감,SS000685,"건강 문제가 있는 부위에서 느껴지는 따뜻한 느낌
"
741,신경 마비,SS000670,"여러가지 원인에 의해 뇌, 척수, 말초신경, 근육 등의 신경조직에 생긴 운동마비, 지각장애, 보행장애, 경련, 복시, 의식장애, 통증 등의 이상 증상
"
742,혈뇨,SS000042,"소변에 적혈구가 배출되어 선홍색이나 갈색으로 보이는 것
"
743,다지증,SS000495,"손,발가락이 비정상적으로 더 생겨서 6개 혹은 그 이상이 되는 기형
"
750,탈수,SS000718,"체내에서 수분 혹은 전해질이 감소되어 나타나는 상태
"
754,후비루,SS00960,"코 점막 분비물이 인후를 통해 넘어가는 증상
"
759,광시증,SS000169,"눈을 감거나 어두운 곳에서 번쩍거리고 시야가 흐린 증상
"
764,발열,SS000684,"정상 체온 범위를 벗어나 비정상적으로 높은 체온
"
766,갈증,SS000550,"목이나 입마름 증상
"
767,검붉은 색 피부,SS000783,"피부색이 검붉게 변함
"
769,청색증,SS000834,"입술, 손끝, 귀, 점막 등의 부위에 산소 공급이 감소하여 파랗게 보이는 것
"
770,색맹,SS000202,"색조의 식별 능력이 없는 상태
"
773,심인성 쇼크,SS000889,"심장 기능이 감소하여 말초순환에 기능 이상이 생긴 상태
"
777,저림,SS000775,"어떠한 원인으로 인해 혈액순환이 정체되거나 신경에 장애가 발생하여 찌르는 듯하고 둔한 느낌
"
778,후각 감소,SS00959,"냄새를 감지하는 감각이 감소함
"
779,시신경염,SS000205,"시신경 신경섬유에 염증이 발생하여 물체가 흐리게 보이는 것
"
780,소양감,SS000820,
786,성기능 장애,SS000463,"성 행위와 관련하여 나타나는 성반응 주기의 장애 또는 성교 통증을 의미하며, 성적 욕구 장애, 성적 흥분 장애, 극치감 장애, 성적 통증 장애를 말함
"
790,피부가 두꺼워짐,SS000846,"피부가 두꺼워져 딱딱하게 만져짐
"
792,방사통,SS000768,"다른 부위로 퍼지는 듯한 통증
"
803,비정상적인 움직임,SS000084,"자신의 의지와 상관없이 신체의 일부를 반복적으로 움직임
"
805,옆구리 통증,SS000415,"가슴과 등 사이의 갈비뼈 부분에서 느껴지는 통증
"
808,변실금,SS000526,"자기도 모르는 사이에 대변이 나오거나, 변이 마렵다는 느낌은 드나 참지 못하며 옷에 실수를 하고, 기침을 하거나 방귀를 뀌어도 변이 나오는 것
"
809,의식 저하,SS000320,"자기 자신이나 사물에 대하여 인식하는 능력이 감소함
"
829,뇌전증 발작,SS000591,"뇌 신경세포의 과도한 흥분으로 인해 나타나는 뇌기능의 일시적 마비 증상
"
830,불임,SS000451,"피임을 하지 않은 부부가 정상적인 부부관계에도 불구하고 1년 이내에 임신이 되지않는 상태
"
831,빈맥,SS000874,"심장이 비정상으로 빨리 뛰는 것
"
833,"납작한 코, 축 쳐진 귀",SS000271,
835,호흡 곤란 ,SS001001,힘을 쓰지 않으면 숨쉬기가 어렵거나 숨쉬는데 고통을 느끼는 상태
836,부종,SS001002,몸이 붓는 현상
837,식욕 부진,SS001003,식욕이 떨어지거나 식욕이 없는 현상으로서 정상적으로 먹던 양보다 적게 먹거나 전혀 먹지 못하는 것
838,발육 부전,SS001004,떠한 이유로 발육(성장)이 더디어지는 바람에 제대로 성장하지 못한 경우를 이르는 것
839,홍반,SS001005,피부가 붉게 변하여 홍색을 띠는 것
840,체중 감소,SS001006,체중이 감소함
841,식은땀,SS001007,"질병, 긴장 등으로 인해 차가운 땀을 흘리는 증세"
842,어지럼증,SS001008,실제 정지해 있음에도 불구하고 빙글빙글 도는 듯한 느낌
843,가려움증,SS001009,가려움
844,스트레스,SS001010,스트레스 받음
765,열,SS000684,"정상 체온 범위를 벗어나 비정상적으로 높은 체온
"
